"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"21:42:06,8369063","InergetixCoRe.exe","3136","Load Image","C:\Program Files (x86)\Inergetix\Inergetix-CoRe 5.0\hs3.dll","SUCCESS","Image Base: 0x21970000, Image Size: 0x81000"
"21:42:06,8387997","InergetixCoRe.exe","3136","Load Image","C:\Program Files (x86)\Inergetix\Inergetix-CoRe 5.0\hs3.dll","SUCCESS","Image Base: 0x21970000, Image Size: 0x81000"
